epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
159,1694.71,0.9571,0.55356,1.04344,0.92998,0.88298,0.9049,0.52975,1.48873,0.61902,1.32662,0.0012179,0.0012179,0.0012179
160,1705.87,0.97437,0.54685,1.04359,0.89616,0.93617,0.92061,0.51696,1.50936,0.61038,1.36056,0.00121295,0.00121295,0.00121295
161,1715.97,0.97547,0.55726,1.02443,0.933,0.90426,0.92417,0.53535,1.52393,0.61158,1.36641,0.001208,0.001208,0.001208
162,1726.11,0.97411,0.57924,1.05142,0.90955,0.88298,0.90872,0.5462,1.48302,0.61361,1.37114,0.00120305,0.00120305,0.00120305
163,1738.22,0.97443,0.55425,1.03186,0.89503,0.88298,0.90716,0.55028,1.51462,0.6107,1.34842,0.0011981,0.0011981,0.0011981
164,1746.94,0.92048,0.533,1.00497,0.92795,0.89362,0.92762,0.55157,1.46041,0.60971,1.35815,0.00119315,0.00119315,0.00119315
165,1758.06,0.95475,0.55407,1.0502,0.91282,0.89109,0.88525,0.53148,1.4605,0.58899,1.36108,0.0011882,0.0011882,0.0011882
166,1767.73,0.91993,0.53285,1.03155,0.94229,0.86849,0.91608,0.53815,1.49024,0.62908,1.3732,0.00118325,0.00118325,0.00118325
167,1777.72,0.93001,0.54927,1.02922,0.89433,0.90042,0.9008,0.54211,1.45681,0.60818,1.3928,0.0011783,0.0011783,0.0011783
168,1788.93,0.9392,0.56176,1.03074,0.8943,0.90012,0.90081,0.52572,1.46895,0.59714,1.37066,0.00117335,0.00117335,0.00117335
169,1797.76,0.97389,0.56013,1.02923,0.86736,0.87234,0.86532,0.51355,1.50485,0.59703,1.38006,0.0011684,0.0011684,0.0011684
170,1809.27,0.97457,0.55407,1.07567,0.90907,0.79787,0.86764,0.51666,1.53083,0.62957,1.39543,0.00116345,0.00116345,0.00116345
171,1818.36,0.89395,0.54328,1.02898,0.828,0.88298,0.88134,0.50557,1.52294,0.61534,1.35328,0.0011585,0.0011585,0.0011585
172,1829.43,0.89484,0.5104,1.01764,0.83078,0.90426,0.86844,0.50006,1.47356,0.59116,1.37414,0.00115355,0.00115355,0.00115355
173,1840.71,0.93724,0.54819,1.03477,0.90857,0.8617,0.9041,0.50766,1.53459,0.62736,1.38614,0.0011486,0.0011486,0.0011486
174,1850.15,0.93637,0.52561,1.04465,0.90034,0.91489,0.91668,0.5211,1.51092,0.60517,1.40606,0.00114365,0.00114365,0.00114365
175,1862.09,0.95234,0.55117,1.04368,0.87193,0.89362,0.87422,0.49849,1.46341,0.60443,1.39741,0.0011387,0.0011387,0.0011387
